FED,Mode,day,zthour,Binary_Pellets
FED010,empty,-4,22,5.0
FED010,empty,-3,0,12.0
FED010,empty,-3,1,5.0
FED010,empty,-3,3,9.0
FED010,empty,-3,4,5.0
FED010,empty,-3,5,11.0
FED010,empty,-3,7,8.0
FED010,empty,-3,8,7.0
FED010,empty,-3,9,10.0
FED010,empty,-3,10,10.0
FED010,empty,-3,11,7.0
FED010,empty,-3,12,12.0
FED010,empty,-3,13,18.0
FED010,empty,-3,14,13.0
FED010,empty,-3,15,17.0
FED010,empty,-3,16,15.0
FED010,empty,-3,17,16.0
FED010,empty,-3,18,10.0
FED010,empty,-3,19,14.0
FED010,empty,-3,20,10.0
FED010,empty,-3,22,1.0
FED010,empty,-3,23,11.0
FED010,empty,-2,1,7.0
FED010,empty,-2,2,2.0
FED010,empty,-2,3,16.0
FED010,empty,-2,4,10.0
FED010,empty,-2,5,8.0
FED010,empty,-2,6,10.0
FED010,empty,-2,8,8.0
FED010,empty,-2,9,17.0
FED010,empty,-2,10,8.0
FED010,empty,-2,11,10.0
FED010,empty,-2,12,13.0
FED010,empty,-2,13,16.0
FED010,empty,-2,14,12.0
FED010,empty,-2,15,10.0
FED010,empty,-2,16,15.0
FED010,empty,-2,17,14.0
FED010,empty,-2,18,27.0
FED010,empty,-2,20,9.0
FED010,empty,-2,21,8.0
FED010,empty,-2,22,13.0
FED010,empty,-2,23,6.0
FED011,empty,-5,0,5.0
FED011,empty,-5,1,13.0
FED011,empty,-5,2,6.0
FED011,empty,-5,3,3.0
FED011,empty,-5,4,4.0
FED011,empty,-5,5,7.0
FED011,empty,-5,6,3.0
FED011,empty,-5,8,8.0
FED011,empty,-5,9,7.0
FED011,empty,-5,10,9.0
FED011,empty,-5,11,14.0
FED011,empty,-5,12,6.0
FED011,empty,-5,13,19.0
FED011,empty,-5,14,21.0
FED011,empty,-5,15,22.0
FED011,empty,-5,16,23.0
FED011,empty,-5,17,14.0
FED011,empty,-5,18,20.0
FED011,empty,-5,20,21.0
FED011,empty,-5,22,7.0
FED011,empty,-5,23,16.0
FED011,empty,-4,1,9.0
FED011,empty,-4,2,1.0
FED011,empty,-4,3,6.0
FED011,empty,-4,4,5.0
FED011,empty,-4,6,8.0
FED011,empty,-4,8,6.0
FED011,empty,-4,9,6.0
FED011,empty,-4,10,11.0
FED011,empty,-4,11,8.0
FED011,empty,-4,12,10.0
FED011,empty,-4,14,18.0
FED011,empty,-4,15,31.0
FED011,empty,-4,16,14.0
FED011,empty,-4,17,17.0
FED011,empty,-4,19,24.0
FED011,empty,-4,20,10.0
FED011,empty,-4,21,6.0
FED011,empty,-4,22,14.0
FED011,empty,-4,23,1.0
FED011,empty,-3,0,5.0
FED011,empty,-3,1,7.0
FED011,empty,-3,2,1.0
FED011,empty,-3,6,2.0
FED011,empty,-3,7,8.0
FED011,empty,-3,8,4.0
FED011,empty,-3,9,13.0
FED011,empty,-3,10,12.0
FED011,empty,-3,11,12.0
FED011,empty,-3,12,8.0
FED011,empty,-3,14,22.0
FED011,empty,-3,15,12.0
FED011,empty,-3,16,21.0
FED011,empty,-3,17,14.0
FED011,empty,-3,18,14.0
FED011,empty,-3,20,11.0
FED011,empty,-3,21,10.0
FED011,empty,-3,22,7.0
FED011,empty,-2,2,5.0
FED011,empty,-2,3,10.0
FED011,empty,-2,4,1.0
FED011,empty,-2,5,9.0
FED011,empty,-2,7,5.0
FED011,empty,-2,8,11.0
FED011,empty,-2,10,10.0
FED011,empty,-2,11,12.0
FED011,empty,-2,12,16.0
FED011,empty,-2,13,12.0
FED011,empty,-2,14,17.0
FED011,empty,-2,15,18.0
FED011,empty,-2,16,20.0
FED011,empty,-2,17,18.0
FED011,empty,-2,19,16.0
FED011,empty,-2,20,13.0
FED011,empty,-2,22,6.0
FED011,empty,-2,23,6.0
FED012,empty,-5,0,2.0
FED012,empty,-5,2,4.0
FED012,empty,-5,3,5.0
FED012,empty,-5,4,8.0
