device_number,behavior,hoursfloor,event
12,Seeking,58,3.0
12,Seeking,59,15.0
12,Seeking,60,5.0
12,Seeking,63,6.0
14,Exploring,-70,2.0
14,Exploring,-62,1.0
14,Exploring,-56,1.0
14,Exploring,-38,1.0
14,Exploring,-34,1.0
14,Exploring,-30,1.0
14,Exploring,-20,1.0
14,Exploring,-14,1.0
14,Exploring,-13,2.0
14,Exploring,-11,1.0
14,Exploring,-6,1.0
14,Exploring,1,2.0
14,Exploring,8,1.0
14,Exploring,9,1.0
14,Exploring,12,2.0
14,Exploring,23,1.0
14,Exploring,30,1.0
14,Exploring,31,1.0
14,Exploring,34,1.0
14,Exploring,38,3.0
14,Exploring,40,1.0
14,Exploring,44,1.0
14,Exploring,50,1.0
14,Exploring,56,4.0
14,Exploring,57,2.0
14,Exploring,59,2.0
14,Exploring,60,4.0
14,Exploring,61,1.0
14,Exploring,63,6.0
14,Exploring,71,1.0
14,Seeking,-67,1.0
14,Seeking,-64,2.0
14,Seeking,-63,2.0
14,Seeking,-62,2.0
14,Seeking,-61,2.0
14,Seeking,-59,1.0
14,Seeking,-57,4.0
14,Seeking,-56,3.0
14,Seeking,-54,1.0
14,Seeking,-51,1.0
14,Seeking,-49,1.0
14,Seeking,-48,1.0
14,Seeking,-47,2.0
14,Seeking,-46,1.0
14,Seeking,-42,1.0
14,Seeking,-41,2.0
14,Seeking,-40,1.0
14,Seeking,-39,2.0
14,Seeking,-38,6.0
14,Seeking,-37,1.0
14,Seeking,-36,1.0
14,Seeking,-34,1.0
14,Seeking,-32,1.0
14,Seeking,-30,2.0
14,Seeking,-28,1.0
14,Seeking,-20,1.0
14,Seeking,-17,2.0
14,Seeking,-16,3.0
14,Seeking,-15,2.0
14,Seeking,-14,6.0
14,Seeking,-13,4.0
14,Seeking,-11,5.0
14,Seeking,-9,2.0
14,Seeking,-8,1.0
14,Seeking,-3,1.0
14,Seeking,0,1.0
14,Seeking,1,2.0
14,Seeking,2,1.0
14,Seeking,7,5.0
14,Seeking,8,6.0
14,Seeking,9,9.0
14,Seeking,10,9.0
14,Seeking,11,5.0
14,Seeking,12,11.0
14,Seeking,13,2.0
14,Seeking,14,1.0
14,Seeking,15,3.0
14,Seeking,16,5.0
14,Seeking,17,2.0
14,Seeking,18,1.0
14,Seeking,20,5.0
14,Seeking,21,1.0
14,Seeking,22,1.0
14,Seeking,23,5.0
14,Seeking,24,1.0
14,Seeking,30,4.0
14,Seeking,31,5.0
14,Seeking,32,8.0
14,Seeking,33,5.0
14,Seeking,34,6.0
14,Seeking,35,11.0
14,Seeking,36,1.0
14,Seeking,38,9.0
14,Seeking,40,6.0
14,Seeking,41,2.0
14,Seeking,42,7.0
14,Seeking,44,3.0
14,Seeking,46,2.0
14,Seeking,48,1.0
14,Seeking,49,1.0
14,Seeking,50,2.0
14,Seeking,54,6.0
14,Seeking,55,13.0
14,Seeking,56,8.0
14,Seeking,57,7.0
14,Seeking,58,1.0
14,Seeking,59,4.0
14,Seeking,60,4.0
14,Seeking,61,1.0
14,Seeking,62,2.0
14,Seeking,63,5.0
14,Seeking,64,4.0
14,Seeking,66,3.0
14,Seeking,70,1.0
15,Exploring,-67,2.0
15,Exploring,-64,1.0
15,Exploring,-63,2.0
15,Exploring,-62,1.0
15,Exploring,-57,2.0
15,Exploring,-55,1.0
15,Exploring,-54,4.0
15,Exploring,-50,1.0
15,Exploring,-48,1.0
15,Exploring,-46,2.0
15,Exploring,-42,2.0
15,Exploring,-41,1.0
15,Exploring,-40,1.0
15,Exploring,-39,3.0
15,Exploring,-36,3.0
15,Exploring,-35,2.0
15,Exploring,-33,2.0
15,Exploring,-29,1.0
15,Exploring,-28,1.0
15,Exploring,-25,2.0
15,Exploring,-22,1.0
15,Exploring,-15,1.0
15,Exploring,-14,1.0
15,Exploring,-13,1.0
15,Exploring,-12,2.0
15,Exploring,-11,3.0
15,Exploring,-8,1.0
15,Exploring,-6,2.0
15,Exploring,-5,2.0
15,Exploring,-2,1.0
15,Exploring,11,1.0
15,Exploring,30,1.0
15,Exploring,42,1.0
15,Seeking,-70,1.0
15,Seeking,-65,3.0
15,Seeking,-64,3.0
15,Seeking,-63,1.0
15,Seeking,-61,2.0
15,Seeking,-60,1.0
15,Seeking,-59,4.0
15,Seeking,-57,3.0
15,Seeking,-56,1.0
15,Seeking,-52,1.0
15,Seeking,-51,1.0
15,Seeking,-42,2.0
15,Seeking,-39,1.0
15,Seeking,-38,3.0
15,Seeking,-37,2.0
15,Seeking,-36,2.0
15,Seeking,-35,2.0
15,Seeking,-33,1.0
15,Seeking,-31,1.0
15,Seeking,-28,1.0
15,Seeking,-18,1.0
15,Seeking,-17,1.0
15,Seeking,-16,2.0
15,Seeking,-15,3.0
15,Seeking,-14,2.0
15,Seeking,-13,1.0
15,Seeking,-12,5.0
15,Seeking,-11,1.0
15,Seeking,-10,1.0
15,Seeking,-8,3.0
15,Seeking,-5,1.0
15,Seeking,-3,1.0
15,Seeking,-1,3.0
15,Seeking,1,2.0
15,Seeking,8,1.0
15,Seeking,9,3.0
