Time,553,549,561,EB0,E95,EA2,E94,E8D,hour,date,day,zthour
2025-01-11 05:00:00,38.1,26.9,4.0,33.5,29.4,38.2,31.8,38.1,5,2025-01-11,6,13
2025-01-11 06:00:00,6.04,26.3,4.99,1.29,12.1,31.8,35.9,32.5,6,2025-01-11,6,14
2025-01-11 07:00:00,5.12,0.362,0.152,11.2,5.36,2.85,36.2,32.3,7,2025-01-11,6,15
2025-01-11 08:00:00,1.1,0.385,0.0298,25.1,6.48,0.0244,3.83,0.888,8,2025-01-11,6,16
2025-01-11 09:00:00,2.27,1.8,0.0244,0.322,1.5,0.0244,0.0244,0.0244,9,2025-01-11,6,17
2025-01-11 10:00:00,2.11,1.91,4.96,5.03,3.43,0.0244,7.09,0.448,10,2025-01-11,6,18
2025-01-11 11:00:00,12.3,6.9,7.76,10.7,13.4,6.48,8.3,22.0,11,2025-01-11,6,19
2025-01-11 12:00:00,0.368,15.0,0.0244,0.0244,6.21,5.69,5.37,0.259,12,2025-01-11,6,20
2025-01-11 13:00:00,0.342,0.0356,6.78,1.74,1.19,0.0244,0.0576,4.99,13,2025-01-11,6,21
2025-01-11 14:00:00,8.36,0.0302,0.0244,3.89,19.7,0.113,3.36,0.33,14,2025-01-11,6,22
2025-01-11 15:00:00,2.01,0.0968,6.56,0.121,7.59,4.57,0.562,3.72,15,2025-01-11,6,23
2025-01-11 16:00:00,13.7,4.09,9.66,29.7,24.1,12.2,16.3,28.7,16,2025-01-11,7,0
2025-01-11 17:00:00,4.24,0.516,1.65,2.44,7.64,5.59,1.64,9.16,17,2025-01-11,7,1
2025-01-11 18:00:00,8.71,0.949,15.2,10.2,22.3,9.01,16.1,14.8,18,2025-01-11,7,2
2025-01-11 19:00:00,17.4,9.0,2.81,27.3,28.5,11.3,34.4,23.1,19,2025-01-11,7,3
2025-01-11 20:00:00,20.5,1.87,20.6,21.7,17.7,16.7,33.8,14.9,20,2025-01-11,7,4
2025-01-11 21:00:00,21.7,16.9,7.86,31.4,35.2,30.1,25.5,15.2,21,2025-01-11,7,5
2025-01-11 22:00:00,13.4,31.4,28.2,43.7,17.7,37.2,24.0,26.4,22,2025-01-11,7,6
2025-01-11 23:00:00,32.2,23.9,3.88,43.0,42.4,18.4,30.7,4.6,23,2025-01-11,7,7
2025-01-12 00:00:00,8.41,3.41,24.2,38.8,9.08,8.03,34.6,13.8,0,2025-01-12,7,8
2025-01-12 01:00:00,10.7,7.2,4.95,12.2,16.9,0.0244,14.1,13.2,1,2025-01-12,7,9
2025-01-12 02:00:00,21.1,7.64,11.9,0.117,13.9,3.85,8.91,5.46,2,2025-01-12,7,10
2025-01-12 03:00:00,24.5,2.34,8.49,38.6,24.6,1.24,14.6,36.9,3,2025-01-12,7,11
2025-01-12 04:00:00,12.4,14.8,23.5,30.5,17.4,18.1,41.6,33.0,4,2025-01-12,7,12
2025-01-12 05:00:00,37.6,27.5,4.44,17.0,40.1,54.9,43.3,43.7,5,2025-01-12,7,13
2025-01-12 06:00:00,10.1,15.7,1.86,33.6,17.2,14.4,34.2,40.6,6,2025-01-12,7,14
2025-01-12 07:00:00,11.1,0.276,0.437,12.4,5.59,0.401,1.34,13.8,7,2025-01-12,7,15
2025-01-12 08:00:00,0.357,2.4,0.0244,0.719,12.8,0.102,0.0244,0.469,8,2025-01-12,7,16
2025-01-12 09:00:00,0.388,0.0244,8.3,0.865,11.1,8.5,12.0,0.0435,9,2025-01-12,7,17
2025-01-12 10:00:00,7.64,0.0244,0.317,0.246,0.346,0.0244,2.64,0.0561,10,2025-01-12,7,18
2025-01-12 11:00:00,8.9,1.11,7.22,34.3,9.39,11.4,0.994,8.27,11,2025-01-12,7,19
2025-01-12 12:00:00,1.05,0.875,0.0244,2.61,5.98,0.0466,12.1,0.0866,12,2025-01-12,7,20
2025-01-12 13:00:00,0.951,0.0244,4.41,0.343,2.08,0.0244,5.75,0.0712,13,2025-01-12,7,21
2025-01-12 14:00:00,7.28,1.31,2.4,13.3,21.7,16.8,1.94,12.5,14,2025-01-12,7,22
2025-01-12 15:00:00,1.13,2.39,1.49,3.11,2.42,0.456,3.98,1.04,15,2025-01-12,7,23
2025-01-12 16:00:00,2.35,1.3,0.184,5.95,7.84,2.18,0.13,1.2,16,2025-01-12,8,0
2025-01-12 17:00:00,0.769,1.17,1.95,0.26,8.28,1.12,1.86,3.55,17,2025-01-12,8,1
2025-01-12 18:00:00,14.6,6.28,16.8,20.5,29.1,16.1,22.7,13.7,18,2025-01-12,8,2
2025-01-12 19:00:00,16.0,18.7,9.98,23.9,24.4,26.1,19.3,27.3,19,2025-01-12,8,3
2025-01-12 20:00:00,16.7,4.27,4.46,32.2,31.6,29.8,8.73,14.8,20,2025-01-12,8,4
2025-01-12 21:00:00,18.0,26.7,11.2,48.7,28.6,43.4,29.3,21.2,21,2025-01-12,8,5
2025-01-12 22:00:00,11.8,13.6,35.1,56.7,24.4,26.5,26.4,32.8,22,2025-01-12,8,6
2025-01-12 23:00:00,29.0,3.75,19.1,54.3,27.7,43.7,40.0,12.4,23,2025-01-12,8,7
2025-01-13 00:00:00,12.9,4.17,23.5,40.3,37.0,14.8,22.0,21.9,0,2025-01-13,8,8
2025-01-13 01:00:00,8.84,7.6,1.0,1.98,33.4,4.5,7.13,12.3,1,2025-01-13,8,9
2025-01-13 02:00:00,17.2,10.5,18.5,1.42,25.4,37.6,4.73,1.69,2,2025-01-13,8,10
2025-01-13 03:00:00,14.2,9.77,16.9,41.4,17.8,36.3,3.69,30.9,3,2025-01-13,8,11
2025-01-13 04:00:00,26.9,30.2,11.4,60.6,36.8,23.0,19.5,32.7,4,2025-01-13,8,12
2025-01-13 05:00:00,38.9,29.6,22.3,56.6,28.1,27.3,42.8,45.7,5,2025-01-13,8,13
2025-01-13 06:00:00,24.6,17.8,3.32,38.4,15.2,0.208,41.1,47.8,6,2025-01-13,8,14
